,Assignment: CM4107 Coursework 1 - Due 5 November 2020 at 4:00pm,Assignment: DROPBOX WRITEUP Coursework2   - Due 17 December 2020 at 4:00pm,Assignment: DROPBOX WRITEUP: CW1 main submission. Due 5 November 2020 at 4:00pm,Assignment: DROPBOX ZIP Coursework2  - Due 17 December 2020 at 4:00pm,Assignment: DROPBOX ZIP: for CW1 code only. Due 5 November 2020 at 4:00pm,External tool: Blackboard Collaborate Ultra Online Classroom,File: 2: CNN with Keras on IMDB,File: ANN Breakout Session,File: Answer: Lab Activities 3,File: Answers: kNN Lab Activities,File: Basic tutorial to check if jupyter notebook works,File: Breakout Activities,File: Breakout session - discussion slide,File: CM4107 Coursework 1 Submission Template,File: CM4107 Coursework 2 Submission Template,File: CNN with Keras on IMDB Answers,File: CW1 Coversheet,File: CW1 Solution template stylefile,File: CW2 Coversheet,File: CW2 Solution template stylefile,File: Coursework - Part I,File: Coursework - Part II,File: Demo code: How to add hidden layers?,File: Ethical and Explainable AI Lecture Slides,File: Extra: RNN with Keras on IMDB,File: Grading grid CW1,File: Grading grid CW2,File: How to setup Keras within Anaconda,File: Keras: Hello World Answers,File: Keras: hello world,File: LIME Demo,File: Lab Activities,File: Lab Activities (updated@12.30pm 8th Oct),File: Lab Activities - Part1 (zip file),File: Lab Activities - Part2 (ipynb),File: Lab Activities - closely linked to CW Part I,File: Lab Activities draft - aligned to CW1,File: Lab Activities part 1 - Data Handling and setting up for evaluation,File: Lab Activities parts 2&amp;3 - advanced evaluation methods,File: Lecture Notes,File: Lecture Notes (draft),File: Lecture Slides (updated 15th Oct @ 18.20),File: Lecture slides,File: Lecture slides (updated@15:30 Oct 8th 2020),File: Lecture slides for blackboard session,File: Recap of ANN and links to code,File: Solutions to Perceptron Lab Activities,File: Welcome slides,File: ipynb with helper functions for tasks 1.3 &amp; 1.4,Folder: Coursework Datasets,Forum: Study Area News and Announcements,Other,Quiz: Quiz - AI introduction topic,Quiz: Quiz - Artificial Neural Networks,Quiz: Quiz - Evaluation Methodologies,Quiz: Quiz - Perception,Quiz: Quiz - kNN,Study Area: [Module 2020/2021] CM4107 - Full Time: Advanced Artificial Intelligence,URL: 3Blue1Brown's video on Vectors,URL: Bayes Rules,URL: Convolutional Neural Network,URL: Deep Blue vs Kasparov,URL: Dimensionality Reduction and similarity,URL: Gradient Descent (by Andrew Ng),URL: How Bayes Theorem works,URL: How Should We Evaluate Machine Learning for AI?: Percy Liang,"URL: How to install Anaconda Python, Jupyter Notebook on Mac","URL: How to install Anaconda Python, Jupyter Notebook on Windows",URL: Interview of Marvin Minsky,URL: MIT lecture on kNN by Patrick Winston  (forward to 3.15min),URL: Machine Learning Recipes,"URL: Machine Learning with Scikit-Learn, Part 1 | SciPy 2018 Tutorial | Lemaitre and Grisel",URL: Multi-Layer Artificial Neural Networks,URL: Noam Chomsky &amp; Marvin Minsky on Artificial Intelligence,URL: Perceptron solution discussion,URL: Pre-recorded Zoom guest lecture by Kyle Martin,URL: Probability and its limit,URL: Python in the cloud - no installation option,URL: Recurrent Neural Networks (RNN) and Long Short-Term Memory (LSTM),URL: Some simple models of neurons — Geoffrey Hinton,URL: Stanford NLP full series by Dan Jurafsky,URL: Support Vector Machines (SVMs) (MIT lecture),URL: Talk of Andrew Ng,URL: Talk of Garry Kasparov,URL: Talk of Sir John Dermot Turing (Nephew of Alan Turing),URL: Talk of Yann LeCun,URL: Ted talk of Yohsua Bengio,URL: TensorFlow,URL: The Moral Machine at MIT,URL: Welcome and CM4107 Module Organisation,URL: What are neural networks — Geoffrey Hinton (copy),URL: Why we need Machine Learning? (talk by Geoffrey Hinton),URL: Wise thoughts of Marvin Minsky,late_coursework_1,late_coursework_2,COURSEWORK_1,COURSEWORK_2,OVERALL_GRADE
0,0,19,15,8,19,18,1,1,0,0,2,0,2,1,2,2,0,2,0,0,13,5,3,1,5,0,1,1,1,0,0,2,2,1,3,2,1,4,3,1,2,3,2,0,0,0,1,1,3,5,3,0,0,0,0,0,0,91,1,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,C,B,C
1,0,26,26,17,13,7,2,1,2,0,1,0,1,2,1,0,1,2,1,3,8,12,0,0,1,2,3,3,5,2,0,1,0,1,0,1,1,0,0,1,0,2,2,0,1,2,0,0,4,4,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,D,D,D
2,0,0,17,0,0,4,0,0,0,0,1,0,0,1,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,1,1,1,0,0,3,0,0,3,3,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,NS,E
3,1,23,27,19,11,12,2,0,0,0,1,0,2,1,1,3,2,3,1,1,2,2,0,1,0,3,0,1,0,2,0,6,1,1,1,4,1,3,1,0,1,0,2,1,1,2,0,0,4,5,0,0,0,0,0,1,0,76,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,C,A,B
4,1,0,14,0,1,17,0,2,0,0,2,3,2,2,0,0,1,4,0,0,9,1,1,1,0,2,0,0,0,0,0,0,0,2,2,1,2,0,0,3,2,3,4,1,3,3,0,0,0,1,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,F,NS,F
5,0,12,19,10,11,26,0,0,0,0,2,1,1,2,3,0,1,0,0,3,9,6,0,1,0,1,2,0,0,0,0,1,1,1,3,5,0,0,0,0,0,1,0,2,1,0,0,0,2,4,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,E,C,D
6,0,13,9,15,16,17,1,1,0,1,0,1,1,2,2,2,3,1,1,3,11,14,1,2,2,1,3,2,0,2,0,1,1,1,2,2,2,2,1,3,2,3,2,4,6,3,2,2,4,6,0,0,10,0,0,0,0,95,0,1,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,C,B,C
7,0,20,17,12,11,27,2,1,0,2,0,2,2,1,5,2,2,3,1,2,8,8,1,1,2,3,2,1,0,2,0,7,1,7,2,1,1,3,0,5,1,1,3,3,2,2,1,4,3,12,0,0,0,0,0,0,3,114,0,1,0,0,1,3,1,1,0,0,0,2,1,1,2,0,6,1,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,1,1,D,B,C
8,1,13,30,8,17,12,1,0,0,0,1,0,0,1,1,3,2,1,0,0,19,13,1,1,0,2,2,2,0,2,0,1,1,1,3,1,1,1,1,2,2,1,1,1,1,1,0,2,3,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,B,B
9,0,26,12,9,10,44,3,1,0,0,0,2,3,5,1,2,2,2,0,0,6,13,2,2,2,9,2,4,0,0,0,1,4,2,2,5,2,2,2,4,2,6,1,5,2,2,0,0,6,3,1,0,14,0,0,0,0,121,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,B,A,B
10,0,9,13,8,8,15,1,0,0,0,2,0,1,2,0,2,2,4,1,1,3,6,0,1,0,3,2,1,0,1,0,1,1,1,4,4,1,1,1,0,1,1,1,2,1,1,0,0,6,1,0,0,16,0,4,0,6,74,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,A,B
11,0,2,14,12,11,26,1,1,0,1,0,0,1,0,1,3,1,1,2,0,4,6,0,0,0,1,0,1,0,0,0,1,2,2,4,3,2,1,2,2,3,4,2,4,1,0,0,2,5,1,0,0,15,0,0,0,0,52,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,D,C
12,0,12,23,11,13,13,7,1,0,0,0,0,0,2,1,6,2,2,0,0,6,2,3,1,0,2,2,3,4,3,0,1,1,1,0,1,1,1,1,0,0,4,2,0,1,2,1,1,9,3,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,C,C,C
13,0,19,11,2,8,13,2,0,0,0,3,0,0,0,4,0,1,2,2,2,4,5,0,1,0,1,0,0,0,0,0,1,2,1,3,1,2,1,1,2,5,2,4,1,2,1,2,1,2,3,0,0,29,0,0,9,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,A,B,B
14,0,25,14,14,9,14,1,0,0,0,0,0,1,2,1,0,1,2,1,0,8,6,1,0,0,3,3,1,0,0,0,2,3,3,6,1,1,0,2,1,1,1,3,1,0,0,2,0,2,4,0,0,13,0,0,3,0,96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,C,A,B
15,2,24,35,14,11,16,0,1,0,0,2,1,1,2,2,2,1,3,0,1,9,19,1,2,0,5,6,0,0,0,0,3,1,1,0,7,2,0,0,0,3,4,0,2,1,0,1,2,5,3,0,0,0,1,0,0,0,108,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,C,B,C
16,1,1,13,0,12,12,0,0,0,0,0,0,1,1,0,0,0,1,0,0,13,1,3,0,0,1,0,0,0,0,0,0,2,2,3,1,1,0,0,0,0,1,1,4,1,2,0,2,2,0,0,0,0,5,0,0,0,41,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,NS,E
17,0,12,15,9,8,9,1,1,0,0,1,0,0,1,0,0,0,1,1,1,4,3,0,1,0,0,0,0,0,0,0,0,1,1,4,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,C,D,C
18,1,16,17,9,10,20,3,5,1,1,1,2,2,3,4,2,2,4,1,1,5,8,1,4,2,2,1,3,1,6,2,3,4,4,7,3,2,3,2,8,1,7,3,10,2,4,3,2,10,1,0,0,22,0,0,0,0,108,2,1,1,1,1,1,2,1,0,1,1,1,1,2,2,2,3,0,1,1,2,1,2,1,3,1,1,2,2,2,1,2,3,1,1,0,1,B,A,B
19,1,7,1,7,0,7,0,0,0,2,0,0,1,2,1,0,0,0,0,0,6,5,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,3,2,0,0,1,0,0,0,0,28,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NS,C,D
20,0,36,38,9,11,17,1,1,0,1,1,0,1,2,0,1,0,0,1,1,6,4,0,1,0,1,1,1,0,0,0,2,1,1,3,1,1,1,1,1,1,1,0,1,0,2,0,0,2,2,0,0,27,0,0,0,0,91,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,A,A
21,1,13,14,8,8,13,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,5,0,0,1,0,1,3,0,0,0,1,0,1,0,1,1,1,0,4,2,0,2,3,0,1,0,0,0,3,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A,A
22,2,20,16,11,18,10,2,0,0,0,1,1,1,2,1,3,2,2,0,0,8,9,2,0,0,2,1,2,1,2,0,1,1,3,5,3,1,2,3,2,2,4,1,3,4,1,2,2,5,0,1,0,19,0,0,4,0,120,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,C,C
23,0,29,20,27,12,9,0,0,0,1,0,0,0,1,2,0,1,3,0,2,15,13,0,0,0,3,3,0,0,0,0,1,7,0,0,3,2,1,2,1,0,0,1,0,1,0,0,0,12,4,0,0,0,0,3,0,0,102,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,D,C,C
24,13,187,212,42,77,22,1,1,0,1,2,0,0,0,3,2,1,1,1,1,21,17,4,0,1,2,2,1,0,0,0,2,2,2,2,4,4,1,1,0,0,4,1,2,0,1,0,0,2,10,0,1,0,0,0,0,0,594,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,B,B
25,0,13,17,8,10,7,1,0,0,0,0,0,1,3,2,0,3,1,2,0,16,10,1,1,2,1,2,1,0,0,0,3,1,1,1,3,2,0,1,2,2,2,1,3,1,2,0,0,3,2,0,0,0,0,0,0,0,85,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,C,B,C
26,1,28,25,16,19,31,0,0,0,0,0,0,1,1,1,3,1,2,1,1,3,3,2,1,2,0,0,1,0,0,0,3,1,1,2,1,1,1,1,0,1,0,0,2,2,0,0,0,3,5,0,0,14,0,0,9,0,143,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,B,A,B
27,1,33,43,19,21,14,0,2,0,0,2,0,1,2,3,1,1,3,0,2,6,8,1,2,1,0,1,1,2,0,0,1,2,1,7,1,1,1,2,5,2,3,1,4,2,3,0,2,4,2,2,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A,A
28,0,12,16,8,13,18,1,1,0,0,0,0,1,4,1,2,0,2,0,1,4,2,2,1,0,0,1,1,2,0,0,1,1,1,3,1,1,1,1,0,4,2,0,0,1,2,1,0,5,2,0,0,0,0,5,5,0,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,C,C,C
