,Assignment: CM4107 Coursework 1 - Due 5 November 2020 at 4:00pm,Assignment: DROPBOX WRITEUP Coursework2   - Due 17 December 2020 at 4:00pm,Assignment: DROPBOX WRITEUP: CW1 main submission. Due 5 November 2020 at 4:00pm,Assignment: DROPBOX ZIP Coursework2  - Due 17 December 2020 at 4:00pm,Assignment: DROPBOX ZIP: for CW1 code only. Due 5 November 2020 at 4:00pm,External tool: Blackboard Collaborate Ultra Online Classroom,File: 2: CNN with Keras on IMDB,File: ANN Breakout Session,File: Answer: Lab Activities 3,File: Answers: kNN Lab Activities,File: Basic tutorial to check if jupyter notebook works,File: Breakout Activities,File: Breakout session - discussion slide,File: CM4107 Coursework 1 Submission Template,File: CM4107 Coursework 2 Submission Template,File: CNN with Keras on IMDB Answers,File: CW1 Coversheet,File: CW1 Solution template stylefile,File: CW2 Coversheet,File: CW2 Solution template stylefile,File: Coursework - Part I,File: Coursework - Part II,File: Demo code: How to add hidden layers?,File: Ethical and Explainable AI Lecture Slides,File: Extra: RNN with Keras on IMDB,File: Grading grid CW1,File: Grading grid CW2,File: How to setup Keras within Anaconda,File: Keras: Hello World Answers,File: Keras: hello world,File: LIME Demo,File: Lab Activities,File: Lab Activities (updated@12.30pm 8th Oct),File: Lab Activities - Part1 (zip file),File: Lab Activities - Part2 (ipynb),File: Lab Activities - closely linked to CW Part I,File: Lab Activities draft - aligned to CW1,File: Lab Activities part 1 - Data Handling and setting up for evaluation,File: Lab Activities parts 2&amp;3 - advanced evaluation methods,File: Lecture Notes,File: Lecture Notes (draft),File: Lecture Slides (updated 15th Oct @ 18.20),File: Lecture slides,File: Lecture slides (updated@15:30 Oct 8th 2020),File: Lecture slides for blackboard session,File: Recap of ANN and links to code,File: Solutions to Perceptron Lab Activities,File: Welcome slides,File: ipynb with helper functions for tasks 1.3 &amp; 1.4,Folder: Coursework Datasets,Forum: Study Area News and Announcements,Other,Quiz: Quiz - AI introduction topic,Quiz: Quiz - Artificial Neural Networks,Quiz: Quiz - Evaluation Methodologies,Quiz: Quiz - Perception,Quiz: Quiz - kNN,Study Area: [Module 2020/2021] CM4107 - Full Time: Advanced Artificial Intelligence,URL: 3Blue1Brown's video on Vectors,URL: Bayes Rules,URL: Convolutional Neural Network,URL: Deep Blue vs Kasparov,URL: Dimensionality Reduction and similarity,URL: Gradient Descent (by Andrew Ng),URL: How Bayes Theorem works,URL: How Should We Evaluate Machine Learning for AI?: Percy Liang,"URL: How to install Anaconda Python, Jupyter Notebook on Mac","URL: How to install Anaconda Python, Jupyter Notebook on Windows",URL: Interview of Marvin Minsky,URL: MIT lecture on kNN by Patrick Winston  (forward to 3.15min),URL: Machine Learning Recipes,"URL: Machine Learning with Scikit-Learn, Part 1 | SciPy 2018 Tutorial | Lemaitre and Grisel",URL: Multi-Layer Artificial Neural Networks,URL: Noam Chomsky &amp; Marvin Minsky on Artificial Intelligence,URL: Perceptron solution discussion,URL: Pre-recorded Zoom guest lecture by Kyle Martin,URL: Probability and its limit,URL: Python in the cloud - no installation option,URL: Recurrent Neural Networks (RNN) and Long Short-Term Memory (LSTM),URL: Some simple models of neurons — Geoffrey Hinton,URL: Stanford NLP full series by Dan Jurafsky,URL: Support Vector Machines (SVMs) (MIT lecture),URL: Talk of Andrew Ng,URL: Talk of Garry Kasparov,URL: Talk of Sir John Dermot Turing (Nephew of Alan Turing),URL: Talk of Yann LeCun,URL: Ted talk of Yohsua Bengio,URL: TensorFlow,URL: The Moral Machine at MIT,URL: Welcome and CM4107 Module Organisation,URL: What are neural networks — Geoffrey Hinton (copy),URL: Why we need Machine Learning? (talk by Geoffrey Hinton),URL: Wise thoughts of Marvin Minsky,late_coursework_1,late_coursework_2,COURSEWORK_1,COURSEWORK_2,OVERALL_GRADE
29,1,11,11,11,17,44,1,1,0,0,1,1,1,3,1,4,1,3,1,2,3,1,0,0,2,2,1,2,0,0,0,1,2,2,4,1,1,1,1,1,0,2,1,3,3,1,3,3,2,5,1,0,2,0,0,2,0,78,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,B,C,C
30,1,26,14,16,9,23,1,1,0,0,0,0,0,1,1,3,2,1,1,1,11,13,4,0,2,1,2,3,1,1,0,4,2,2,0,1,2,0,0,0,1,0,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,B,B,B
31,0,11,20,14,11,15,2,1,0,0,2,1,1,0,2,2,1,2,3,3,1,4,2,1,1,2,3,3,0,1,0,2,1,2,3,1,2,1,1,2,2,2,1,3,2,1,0,2,3,3,0,0,15,6,0,1,1,61,1,0,1,1,2,0,1,0,2,3,1,2,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,3,0,1,1,0,1,B,A,B
32,0,11,18,10,8,25,2,2,0,0,0,0,0,0,0,1,1,2,1,1,3,1,1,1,0,3,2,1,0,0,0,1,1,1,3,2,2,1,1,0,2,1,2,1,0,0,0,2,5,1,0,0,22,0,0,0,0,87,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,A,B
33,0,18,18,8,10,12,0,1,0,0,1,0,1,2,1,1,1,3,1,1,21,5,0,2,1,2,3,1,2,0,0,1,1,1,1,2,1,1,0,3,2,2,3,2,3,2,1,2,4,3,0,0,1,0,0,0,0,90,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,B,C
34,1,39,38,24,10,15,1,0,0,0,1,3,1,1,3,2,4,3,2,3,15,19,1,0,1,3,1,2,1,2,0,1,2,3,8,4,2,2,2,5,5,5,6,1,1,5,2,0,4,3,0,0,28,7,1,7,0,156,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,B,A,B
35,1,10,15,9,7,20,1,1,0,0,1,1,0,3,1,1,1,2,0,0,5,7,4,1,1,0,0,2,1,1,0,2,1,1,5,5,1,0,0,3,0,3,1,4,2,1,1,2,3,4,0,1,0,0,0,0,0,84,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,D,C,C
36,0,46,19,34,12,33,2,1,0,0,1,0,2,1,1,2,2,3,2,2,9,4,0,2,0,0,2,1,0,0,0,4,2,2,7,2,2,2,1,4,4,3,1,4,2,2,1,0,2,4,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,E,E,E
37,0,27,19,13,12,18,3,0,0,0,0,0,0,0,1,3,4,0,0,2,12,11,0,1,0,1,0,2,0,1,0,1,1,1,4,3,2,0,0,3,3,1,0,2,2,0,1,1,3,0,0,0,17,0,0,0,0,94,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,C,C
38,0,14,19,1,14,3,1,0,0,0,0,0,0,2,2,4,1,2,1,2,5,3,0,1,0,1,2,1,0,0,0,2,1,2,5,1,2,2,2,2,1,1,1,1,1,1,1,0,5,5,0,0,15,0,0,0,0,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,D,D
39,1,21,34,11,11,30,1,0,0,0,0,0,1,1,3,1,2,1,1,2,12,6,4,1,1,3,2,0,0,2,0,1,1,1,6,2,1,2,2,5,5,3,1,1,4,2,1,0,4,2,0,1,15,0,0,0,0,147,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,A,B,B
40,0,15,25,0,1,4,0,1,0,0,0,0,1,1,1,0,1,1,0,0,5,6,0,2,0,3,2,0,0,0,0,0,0,0,0,1,1,0,0,2,1,2,1,0,1,1,0,0,6,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,D,D
41,0,7,9,8,8,10,0,1,0,0,0,0,0,1,2,0,2,1,1,1,2,1,1,1,0,1,0,0,0,0,0,1,0,2,2,2,3,0,0,1,0,1,1,0,1,1,1,0,8,5,0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,D
42,0,10,11,10,7,12,1,0,0,0,1,0,1,1,0,0,0,1,0,1,5,5,0,1,0,0,0,2,0,1,0,2,1,1,1,2,1,0,0,3,0,1,1,1,1,1,0,1,5,4,0,0,1,0,0,0,0,61,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,D,C,C
43,0,0,7,0,7,3,0,1,0,0,0,0,0,2,0,0,1,1,0,0,3,0,2,0,0,1,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,1,2,2,1,1,0,0,4,0,0,0,13,4,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,NS,E
44,1,3,23,12,30,16,1,0,0,1,1,0,1,3,2,2,3,2,2,2,18,18,0,1,2,2,3,2,0,2,0,2,2,1,1,1,2,1,0,2,1,0,3,3,0,1,0,0,4,2,1,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,D,C
45,1,19,17,8,10,11,2,1,0,0,0,0,1,2,2,0,0,0,0,1,7,9,0,1,3,2,3,0,0,0,0,1,1,2,3,1,1,1,0,0,2,0,0,0,1,0,0,0,3,3,0,0,1,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,C,B,C
46,1,13,12,13,8,9,1,0,0,0,2,2,2,0,1,5,1,1,0,0,4,10,1,2,0,4,3,1,0,0,0,1,3,2,6,5,2,1,1,3,4,4,2,7,1,1,1,1,3,4,0,0,1,0,0,5,0,92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,C,A,B
47,0,22,22,10,14,9,0,0,0,2,0,1,2,3,1,0,0,1,1,0,10,11,0,0,0,1,2,0,0,0,0,3,1,4,3,5,2,1,0,1,0,1,0,1,0,0,0,0,6,3,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,C,C,C
48,0,27,21,9,10,6,1,0,0,0,0,0,1,1,2,1,1,1,1,0,11,9,0,2,0,4,5,0,0,0,0,1,2,0,0,1,1,1,1,0,1,2,2,2,0,1,0,0,4,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B,B,B
49,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NS,NS,NS
50,0,10,19,7,7,19,2,1,0,0,1,1,1,1,2,0,0,0,1,1,1,2,0,1,0,1,1,2,0,0,0,2,2,1,1,1,2,0,2,4,1,2,1,2,1,1,1,0,3,3,0,0,0,0,0,0,0,48,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,B,A,B
51,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,1,0,3,3,0,1,2,0,0,0,0,13,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NS,NS,NS
52,0,12,26,8,19,9,1,0,0,0,0,0,1,0,1,4,1,1,0,0,6,6,0,0,0,0,1,0,0,0,0,3,1,0,0,1,2,3,0,1,2,2,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,54,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,D,B,C
53,0,52,46,17,27,19,1,1,0,0,0,2,1,3,1,0,0,2,0,0,4,6,1,1,0,0,0,0,0,0,0,2,1,2,1,3,1,1,2,0,2,5,2,3,0,2,1,2,6,3,0,0,0,1,0,0,0,140,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B,B,B
54,1,23,28,10,12,12,1,2,1,1,2,2,2,1,1,1,2,4,1,1,3,2,4,1,1,4,1,1,1,2,1,1,4,2,8,3,2,2,2,2,1,3,3,3,2,3,2,3,5,2,0,0,9,0,0,0,0,115,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,B,A,B
55,1,8,15,7,13,14,1,0,0,0,0,2,1,1,1,0,2,1,0,1,3,3,2,2,1,4,1,0,0,1,2,1,1,1,3,1,3,1,1,4,1,2,2,5,1,3,1,1,3,2,0,0,32,4,0,0,4,63,0,0,0,0,0,1,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,C,C,C
56,2,14,19,8,8,18,1,1,0,0,0,1,1,3,2,0,1,1,1,1,3,1,1,2,1,1,1,1,0,1,0,1,1,2,4,1,1,2,2,3,1,2,2,5,3,3,0,1,2,4,0,0,1,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,D,C,C
57,0,43,25,14,22,21,1,1,0,0,1,0,2,1,1,0,1,0,1,0,7,21,3,1,1,0,5,1,0,0,0,1,1,1,0,1,2,1,1,4,3,3,4,3,0,1,1,1,4,3,0,0,44,13,0,9,11,146,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,B,A,B
58,1,11,19,8,12,32,2,0,2,1,1,1,1,1,2,4,1,3,1,1,5,8,2,0,2,1,0,1,3,4,0,2,2,1,2,4,3,2,2,1,2,1,1,2,3,3,7,0,6,6,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C,B,C
59,0,14,13,7,10,6,0,1,0,2,1,0,1,2,1,0,1,0,0,1,3,3,0,1,0,0,1,1,0,0,0,3,4,2,1,2,1,1,1,3,2,0,2,1,1,0,4,0,7,1,0,0,0,0,0,0,0,57,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,A,B,B
60,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,5,0,16,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NS,NS,NS
61,0,4,11,18,10,13,2,0,1,2,2,0,2,4,1,2,0,1,2,1,3,1,1,2,2,1,1,4,0,1,1,1,4,2,3,3,3,3,3,7,6,2,4,1,1,3,1,1,4,2,0,0,16,0,0,3,0,74,1,0,0,0,0,0,0,1,0,3,0,0,1,1,0,1,1,0,0,2,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,E,A,D
62,0,12,11,7,14,9,2,0,0,0,0,0,1,1,0,2,1,2,0,1,6,3,0,0,4,0,1,1,0,2,0,2,1,2,1,3,2,1,1,0,1,0,0,0,0,0,1,0,6,0,0,0,13,0,0,0,0,43,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,C,C,C
63,1,11,19,7,11,14,1,1,0,0,0,1,1,1,1,2,1,3,1,1,11,8,2,1,2,3,1,0,0,0,2,2,1,1,3,1,1,1,1,2,2,2,2,5,1,4,0,1,3,8,2,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,C
64,0,0,1,0,1,3,0,1,0,3,4,0,2,2,0,0,2,2,1,1,2,2,1,0,0,2,1,0,0,0,0,0,1,4,0,2,3,0,0,0,0,2,0,3,2,3,1,0,4,3,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NS,NS,NS
65,0,13,19,9,16,42,1,1,0,0,1,0,1,1,1,2,0,1,0,2,9,1,0,1,3,2,1,1,0,2,0,1,1,1,3,2,1,1,2,8,5,1,4,2,2,2,0,0,3,5,0,0,0,1,0,0,0,74,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,A,A,A
66,1,0,0,0,0,10,0,0,0,0,1,0,2,2,0,0,2,0,0,0,3,0,0,1,0,0,0,1,0,1,0,1,1,1,6,1,1,1,1,5,1,2,0,2,1,1,0,2,0,0,1,0,17,1,0,4,0,55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NS,NS,NS
67,1,25,12,32,15,16,1,0,0,0,0,0,2,1,0,0,1,2,2,1,2,3,3,0,0,2,3,1,0,0,0,1,2,3,5,3,3,0,0,3,1,1,1,1,1,1,2,1,4,2,0,0,8,0,0,0,0,79,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,0,1,1,1,1,A,B,B
68,0,44,38,19,18,5,1,1,0,0,0,0,0,6,1,0,1,3,0,2,14,14,1,1,0,4,5,0,0,0,0,2,0,0,0,3,2,1,0,0,0,4,0,1,3,4,0,0,3,6,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,C,F,D
69,1,18,12,9,7,32,2,0,0,1,0,1,3,4,2,2,2,2,1,1,14,9,0,0,0,1,2,1,0,3,0,3,3,1,5,2,1,2,2,1,2,0,1,3,0,1,4,0,6,2,0,0,14,5,5,0,0,138,0,0,0,1,0,0,0,1,1,1,0,0,2,3,0,0,6,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,1,D,C,C
70,0,16,12,10,9,15,3,1,0,0,1,0,2,4,2,5,3,2,0,2,12,7,0,0,0,4,2,0,0,0,0,8,1,4,2,9,4,2,1,2,0,3,1,2,1,1,0,0,4,7,0,0,14,2,0,4,0,105,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,C,C,C
71,0,13,13,14,11,0,1,0,0,0,0,0,1,2,2,0,1,2,1,3,2,4,0,0,0,0,0,1,0,0,0,1,1,1,1,2,1,0,0,0,0,1,0,1,2,1,2,2,2,3,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,C,C
72,0,22,15,18,17,24,1,1,0,0,0,1,0,0,1,1,1,2,2,4,2,8,4,1,1,2,4,1,2,2,1,2,1,2,2,1,1,2,1,3,2,2,2,2,3,2,2,2,5,5,0,0,16,16,8,10,6,137,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,B,B
73,0,24,27,18,14,27,1,0,0,0,1,0,0,1,1,2,2,2,1,0,3,3,1,0,0,0,0,1,0,1,0,1,0,0,0,2,1,2,2,1,0,2,0,3,3,0,0,3,3,5,0,0,32,2,0,6,1,100,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,1,1,A,A,A
74,0,0,0,0,0,6,0,0,0,0,0,0,1,2,0,0,1,3,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NS,NS,NS
75,0,18,29,11,17,23,2,0,0,0,1,0,0,2,1,0,3,4,1,1,10,5,0,0,3,1,0,1,0,0,0,2,2,1,2,4,1,2,2,1,2,3,2,2,1,2,2,1,4,1,0,0,16,6,0,12,0,96,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A,A
76,1,14,10,11,7,18,2,0,0,3,0,0,1,1,6,4,4,3,2,1,3,5,0,2,1,2,2,0,5,2,0,2,0,2,0,3,0,2,1,5,3,1,2,5,5,1,0,1,0,4,0,0,14,0,0,1,0,43,1,0,1,0,1,1,0,1,2,0,0,2,3,1,2,1,0,1,0,2,1,1,2,0,1,0,0,0,0,1,0,3,2,1,1,0,0,E,B,D
77,0,11,20,0,13,12,1,0,0,0,0,0,1,3,1,1,2,3,1,1,9,7,0,3,0,1,3,2,1,4,0,2,1,1,1,2,1,0,0,1,0,3,1,4,1,0,0,3,5,3,0,0,0,0,0,0,0,66,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,D,E,D
78,0,11,20,9,19,1,2,0,0,0,0,0,1,2,0,1,2,3,1,1,12,7,0,1,1,2,2,2,1,1,0,2,0,1,8,1,1,2,2,2,1,2,1,1,1,1,0,1,6,4,0,0,2,0,3,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,E,C,D